Region,Station,Date,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Latitude,Longitude
North,Admiralty,24/4/2020,4,1.2,2.2,3.2,27.2,34.6,25.1,9.6,36.3,1.4439,103.7854
North,Admiralty,25/4/2020,2.4,2.2,2.2,2.2,27.2,31.3,25.8,10.3,37.4,1.4439,103.7854
North,Admiralty,26/4/2020,2.2,1.6,1.8,2,27,32.5,25.5,11,35.6,1.4439,103.7854
North,Admiralty,27/4/2020,0,0,0,0,27.2,30.7,24.9,11.2,42,1.4439,103.7854
North,Admiralty,28/4/2020,NA,0,0,0,28.4,31.8,26,10.9,25.9,1.4439,103.7854
North,Admiralty,29/4/2020,NA,2.4,3,5.4,28.9,34.5,25.1,11,42,1.4439,103.7854
North,Admiralty,30/4/2020,9.2,3.8,4.2,4.2,27.7,33.6,24.8,11.5,30.6,1.4439,103.7854
North,Admiralty,1/5/2020,0,0,0,0,27.6,31.6,25.1,22.3,45.4,1.4439,103.7854
North,Admiralty,2/5/2020,0,0,0,0,27.4,32.1,24.7,20.5,46.4,1.4439,103.7854
North,Admiralty,3/5/2020,1.6,0.6,1,1.2,27.1,29.9,25,17.6,39.6,1.4439,103.7854
North,Admiralty,4/5/2020,0,0,0,0,28.2,33.8,25.3,13.4,46.9,1.4439,103.7854
North,Admiralty,5/5/2020,3,3,3,3,28.3,35,25.6,12.2,45,1.4439,103.7854
North,Admiralty,6/5/2020,9.8,NA,NA,NA,27.9,31.5,23.9,8,33.2,1.4439,103.7854
North,Admiralty,7/5/2020,2.6,1.8,2.4,2.6,27,32.8,24.6,11.6,53.7,1.4439,103.7854
North,Admiralty,8/5/2020,0,0,0,0,29,33,26.5,8.3,28.2,1.4439,103.7854
North,Admiralty,9/5/2020,13.4,3.4,4.8,7.2,25,26,23.5,8.3,31.3,1.4439,103.7854
North,Admiralty,10/5/2020,0,0,0,0,29.4,33.9,26.5,8.7,25.6,1.4439,103.7854
North,Admiralty,11/5/2020,0,0,0,0,28.2,33.4,24.5,11.7,26.7,1.4439,103.7854
North,Admiralty,12/5/2020,0.2,0.2,0.2,0.2,26.6,30.2,24.9,21.2,52.2,1.4439,103.7854
North,Admiralty,13/5/2020,2.4,1.4,1.4,1.6,27.8,31.3,24.7,10.8,38.2,1.4439,103.7854
North,Admiralty,14/5/2020,0,0,0,0,29.1,34.2,25.6,12.4,35.6,1.4439,103.7854
North,Admiralty,15/5/2020,0,0,0,0,30.1,34.7,27,9.9,32.4,1.4439,103.7854
North,Admiralty,16/5/2020,10.8,10.4,10.8,10.8,29.8,33.9,26.6,9.4,38.9,1.4439,103.7854
North,Admiralty,17/5/2020,46,27,35.2,38.2,28.2,33.1,24.7,9.3,39.6,1.4439,103.7854
North,Admiralty,18/5/2020,0,0,0.6,3.4,29.1,34.4,25.3,7.6,23.7,1.4439,103.7854
North,Admiralty,19/5/2020,0,0,0,0,30.1,34.1,28,10.5,36.7,1.4439,103.7854
North,Admiralty,20/5/2020,NA,NA,NA,NA,28.8,33.4,25.7,9.9,45.7,1.4439,103.7854
North,Admiralty,21/5/2020,0.2,NA,NA,NA,29,35.8,26.5,10.5,42,1.4439,103.7854
North,Admiralty,22/5/2020,40,23.6,39.4,40,27.9,32.4,23.4,10.9,35,1.4439,103.7854
North,Admiralty,23/5/2020,0.2,0.2,0.2,0.2,27.5,30.8,26,9.4,25.9,1.4439,103.7854
North,Admiralty,24/5/2020,0,0,0,0,28.5,33.6,26.4,12.1,42,1.4439,103.7854
North,Admiralty,25/5/2020,13.6,13.4,13.6,13.6,28.7,34.6,26.2,10.9,34.3,1.4439,103.7854
North,Admiralty,26/5/2020,2.2,1.4,1.8,2,28.9,35,26.1,9.6,30.6,1.4439,103.7854
North,Admiralty,27/5/2020,1.8,0.8,1.4,1.8,28.1,31.4,25.9,10.7,41.1,1.4439,103.7854
North,Admiralty,28/5/2020,0.6,0.6,0.6,0.6,29,34.3,26.5,11,35.2,1.4439,103.7854
North,Admiralty,29/5/2020,3.8,3.6,3.8,3.8,28.1,32.4,25.1,9.6,39.6,1.4439,103.7854
North,Admiralty,30/5/2020,6,4,4,5.2,27.8,34.7,25.2,10.1,45,1.4439,103.7854
North,Admiralty,31/5/2020,0,0,0,0,28.3,33.5,25.9,11.1,29.1,1.4439,103.7854
North,Admiralty,1/6/2020,4.8,1.6,2.8,3.8,26,30.7,23.8,18,51.5,1.4439,103.7854
North,Admiralty,2/6/2020,0,0,0,0,27.8,31.5,25.4,23,48.6,1.4439,103.7854
North,Admiralty,3/6/2020,0,0,0,0,27.5,31.7,25.1,13.3,38.2,1.4439,103.7854
North,Admiralty,4/6/2020,0,0,0,0,27.7,30.8,25.9,11.2,35.6,1.4439,103.7854
North,Admiralty,5/6/2020,0.2,0.2,0.2,0.2,28.4,31.6,25,7.9,37.4,1.4439,103.7854
North,Admiralty,6/6/2020,3.2,NA,NA,NA,27,29.4,24.3,8.5,25.2,1.4439,103.7854
North,Admiralty,7/6/2020,2,1.4,2,2,27.6,32.5,25.3,11.8,36.7,1.4439,103.7854
North,Admiralty,8/6/2020,0,0,0,0,29.5,33.5,27.7,8.2,25.6,1.4439,103.7854
North,Admiralty,9/6/2020,12.4,8,11,12,25.9,31.6,23.4,10.9,41.5,1.4439,103.7854
North,Admiralty,10/6/2020,0,0,0,0,28.9,32.8,26.5,9.8,29.1,1.4439,103.7854
North,Admiralty,11/6/2020,0,0,0,0,29.3,33.6,26.1,11.1,31.3,1.4439,103.7854
North,Admiralty,12/6/2020,0,0,0,0,28,32.3,25.8,22.4,46.9,1.4439,103.7854
North,Admiralty,13/6/2020,7.4,1.2,2.2,3.2,25.6,27.2,24.3,9,29.4,1.4439,103.7854
North,Admiralty,14/6/2020,1.2,1,1,1,28,33.2,25.1,8.2,33.9,1.4439,103.7854
North,Admiralty,15/6/2020,0.2,0.2,0.2,0.2,29.6,33.4,27.8,9.7,42.8,1.4439,103.7854
North,Admiralty,16/6/2020,4.6,4.6,4.6,4.6,28.2,31.2,26.2,12.7,35.2,1.4439,103.7854
North,Admiralty,17/6/2020,11.2,3.6,5.6,7.6,26.6,29.7,25.2,9.3,27.8,1.4439,103.7854
North,Admiralty,18/6/2020,1.4,0.8,0.8,0.8,27.3,30.4,25.2,8.9,23.7,1.4439,103.7854
North,Admiralty,19/6/2020,2,0.8,1.4,1.8,28,31.6,25.3,7.8,24.1,1.4439,103.7854
North,Admiralty,20/6/2020,13,4.6,6.2,6.8,26.1,28.1,24.4,8.3,32.8,1.4439,103.7854
North,Admiralty,21/6/2020,0,0,0,0,26.7,28.4,25.4,8.2,29.4,1.4439,103.7854
North,Admiralty,22/6/2020,0,0,0,0,27.1,28.6,25.5,8.5,27.8,1.4439,103.7854
